Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID, Salary ,Termd,PositionID,Position_,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adinolfi,WilsonK",10026,0,0,1,1,5,4,0,"62,506",0,19,ProductionTechnicianI,MA,1960,7/10/83,M,Single,USCitizen,No,White,7/5/11,,N/A-StillEmployed,Active,Production       ,MichaelAlbert,22,LinkedIn,Exceeds,4.6,5,0,1/17/19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AitSidi,Karthikeyan",10084,1,1,1,5,3,3,0,"104,437",1,27,Sr.DBA,MA,2148,5/5/75,M,Married,USCitizen,No,White,3/30/15,6/16/16,careerchange,VoluntarilyTerminated,IT/IS,SimonRoup,4,Indeed,FullyMeets,4.96,3,6,2/24/16,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akinkuolie,Sarah",10196,1,1,0,5,5,3,0,"64,955",1,20,ProductionTechnicianII,MA,1810,9/19/88,F,Married,USCitizen,No,HispanicLatino,7/5/11,9/24/12,hours,VoluntarilyTerminated,Production       ,KissySullivan,20,LinkedIn,FullyMeets,3.02,3,0,5/15/12,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alagbe,Trina",10088,1,1,0,1,5,3,0,"64,991",0,19,ProductionTechnicianI,MA,1886,9/27/88,F,Married,USCitizen,No,White,1/7/08,,N/A-StillEmployed,Active,Production       ,ElijiahGray,16,Indeed,FullyMeets,4.84,5,0,1/3/19,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson,Carol",10069,0,2,0,5,5,3,0,"50,825",1,19,ProductionTechnicianI,MA,2169,9/8/89,F,Divorced,USCitizen,No,White,7/11/11,9/6/16,returntoschool,VoluntarilyTerminated,Production       ,WebsterButler,39,GoogleSearch,FullyMeets,5,4,0,2/1/16,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson,Linda",10002,0,0,0,1,5,4,0,"57,568",0,19,ProductionTechnicianI,MA,1844,5/22/77,F,Single,USCitizen,No,White,1/9/12,,N/A-StillEmployed,Active,Production       ,AmyDunn,11,LinkedIn,Exceeds,5,5,0,1/7/19,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreola,Colby",10194,0,0,0,1,4,3,0,"95,660",0,24,SoftwareEngineer,MA,2110,5/24/79,F,Single,USCitizen,No,White,11/10/14,,N/A-StillEmployed,Active,Software Engineering,AlexSweetwater,10,LinkedIn,FullyMeets,3.04,3,4,1/2/19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Athwal,Sam",10062,0,4,1,1,5,3,0,"59,365",0,19,ProductionTechnicianI,MA,2199,2/18/83,M ,Widowed,USCitizen,No,White,9/30/13,,N/A-StillEmployed,Active,Production       ,KetsiaLiebig,19,EmployeeReferral,FullyMeets,5,4,0,2/25/19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachiochi,Linda",10114,0,0,0,3,5,3,1,"47,837",0,19,ProductionTechnicianI,MA,1902,2/11/70,F,Single,USCitizen,No,BlackorAfricanAmerican,7/6/09,,N/A-StillEmployed,Active,Production       ,BrannonMiller,12,DiversityJobFair,FullyMeets,4.46,3,0,1/25/19,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bacong,Alejandro",10250,0,2,1,1,3,3,0,"50,178",0,14,ITSupport,MA,1886,1/7/88,M ,Divorced,USCitizen,No,White,1/5/15,,N/A-StillEmployed,Active,IT/IS,PeterMonroe,7,Indeed,FullyMeets,5,5,6,2/18/19,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baczenski,Rachael",10252,1,1,0,5,5,3,1,"54,670",1,19,ProductionTechnicianI,MA,1902,1/12/74,F,Married,USCitizen,Yes,BlackorAfricanAmerican,1/10/11,1/12/17,Anotherposition,VoluntarilyTerminated,Production       ,DavidStanley,14,DiversityJobFair,FullyMeets,4.2,4,0,1/30/16,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbara,Thomas",10242,1,1,1,5,5,3,1,"47,211",1,19,ProductionTechnicianI,MA,2062,2/21/74,M ,Married,USCitizen,Yes,BlackorAfricanAmerican,4/2/12,9/19/16,unhappy,VoluntarilyTerminated,Production       ,KissySullivan,20,DiversityJobFair,FullyMeets,4.2,3,0,5/6/16,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbossa,Hector",10012,0,2,1,1,3,4,1,"92,328",0,9,DataAnalyst,TX,78230,7/4/88,M ,Divorced,USCitizen,No,BlackorAfricanAmerican,11/10/14,,N/A-StillEmployed,Active,IT/IS,SimonRoup,4,DiversityJobFair,Exceeds,4.28,4,5,2/25/19,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barone,FrancescoA",10265,0,0,1,1,5,3,0,"58,709",0,19,ProductionTechnicianI,MA,1810,7/20/83,M ,Single,USCitizen,No,Twoormoreraces,2/20/12,,N/A-StillEmployed,Active,Production       ,KelleySpirea,18,GoogleSearch,FullyMeets,4.6,4,0,2/14/19,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barton,Nader",10066,0,2,1,5,5,3,0,"52,505",1,19,ProductionTechnicianI,MA,2747,7/15/77,M ,Divorced,USCitizen,No,White,9/24/12,4/6/17,Anotherposition,VoluntarilyTerminated,Production       ,MichaelAlbert,22,On-lineWebapplication,FullyMeets,5,5,0,3/2/17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bates,Norman",10061,0,0,1,4,5,3,0,"57,834",1,19,ProductionTechnicianI,MA,2050,10/18/81,M ,Single,USCitizen,No,White,2/21/11,8/4/17,attendance,TerminatedforCause,Production       ,KelleySpirea,18,GoogleSearch,FullyMeets,5,4,0,4/5/17,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beak,Kimberly",10023,1,1,0,2,5,4,0,"70,131",0,20,ProductionTechnicianII,MA,2145,4/17/66,F,Married,USCitizen,No,White,7/21/16,,N/A-StillEmployed,Active,Production       ,KelleySpirea,18,EmployeeReferral,Exceeds,4.4,3,0,1/14/19,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beatrice,Courtney",10055,0,0,0,1,5,3,0,"59,026",0,19,ProductionTechnicianI,MA,1915,10/27/70,F,Single,EligibleNonCitizen,No,White,4/4/11,,N/A-StillEmployed,Active,Production       ,ElijiahGray,16,GoogleSearch,FullyMeets,5,5,0,1/14/19,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becker,Renee",10245,0,0,0,4,3,3,0,"110,000",1,8,DatabaseAdministrator,MA,2026,4/4/86,F,Single,USCitizen,Yes,White,7/7/14,9/12/15,performance,TerminatedforCause,IT/IS,SimonRoup,4,GoogleSearch,FullyMeets,4.5,4,5,1/15/15,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becker,Scott",10277,0,0,1,3,5,3,0,"53,250",0,19,ProductionTechnicianI,MA,2452,4/6/79,M ,Single,USCitizen,No,Asian,7/8/13,,N/A-StillEmployed,Active,Production       ,WebsterButler,,LinkedIn,FullyMeets,4.2,4,0,1/11/19,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernstein,Sean",10046,0,0,1,1,5,3,0,"51,044",0,19,ProductionTechnicianI,MA,2072,12/22/70,M ,Single,USCitizen,Yes,White,4/2/12,,N/A-StillEmployed,Active,Production       ,AmyDunn,11,GoogleSearch,FullyMeets,5,3,0,1/14/19,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biden,LowanM",10226,0,2,0,1,5,3,0,"64,919",0,19,ProductionTechnicianI,MA,2027,12/27/58,F,Divorced,USCitizen,No,Asian,8/19/13,,N/A-StillEmployed,Active,Production       ,KetsiaLiebig,19,Indeed,FullyMeets,4.2,3,0,1/10/19,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
